"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Rž in soržica","2011","Gorenjska",3.8
"Rž in soržica","2011","Primorsko-notranjska",5.2
"Rž in soržica","2011","Goriška",2.5
"Rž in soržica","2011","Obalno-kraška",4.8
"Rž in soržica","2012","Pomurska",3.4
"Rž in soržica","2012","Podravska",4.6
"Rž in soržica","2012","Koroška",3.0
"Rž in soržica","2012","Savinjska",3.2
"Rž in soržica","2012","Zasavska",-
"Rž in soržica","2012","Posavska",3.0
"Rž in soržica","2012","Jugovzhodna Slovenija",3.9
"Rž in soržica","2012","Osrednjeslovenska",3.1
"Rž in soržica","2012","Gorenjska",2.9
"Rž in soržica","2012","Primorsko-notranjska",4.9
"Rž in soržica","2012","Goriška",2.3
"Rž in soržica","2012","Obalno-kraška",3.5
"Rž in soržica","2013","Pomurska",2.9
"Rž in soržica","2013","Podravska",4.1
"Rž in soržica","2013","Koroška",2.9
"Rž in soržica","2013","Savinjska",3.4
"Rž in soržica","2013","Zasavska",3.1
"Rž in soržica","2013","Posavska",2.6
"Rž in soržica","2013","Jugovzhodna Slovenija",1.9
"Rž in soržica","2013","Osrednjeslovenska",3.3
"Rž in soržica","2013","Gorenjska",3.9
"Rž in soržica","2013","Primorsko-notranjska",4.0
"Rž in soržica","2013","Goriška",3.0
"Rž in soržica","2013","Obalno-kraška",3.8
"Rž in soržica","2014","Pomurska",3.7
"Rž in soržica","2014","Podravska",4.9
"Rž in soržica","2014","Koroška",2.9
"Rž in soržica","2014","Savinjska",3.8
"Rž in soržica","2014","Zasavska",-
"Rž in soržica","2014","Posavska",2.7
"Rž in soržica","2014","Jugovzhodna Slovenija",2.8
"Rž in soržica","2014","Osrednjeslovenska",4.0
"Rž in soržica","2014","Gorenjska",3.7
"Rž in soržica","2014","Primorsko-notranjska",4.5
"Rž in soržica","2014","Goriška",3.9
"Rž in soržica","2014","Obalno-kraška",4.0
"Rž in soržica","2015","Pomurska",3.6
"Rž in soržica","2015","Podravska",4.1
