"KMETIJSKE KULTURE","STATISTIÈNA REGIJA","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Gorenjska",5.9,5.6,5.0,4.4,5.6,5.9,6.0,5.8,5.8,5.8
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Primorsko-notranjska",4.8,4.7,3.9,4.4,5.2,5.2,5.3,4.1,5.2,5.4
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Goriška",5.4,5.2,3.8,4.5,5.2,5.1,5.2,4.4,5.1,4.5
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Obalno-kraška",3.1,2.8,1.8,2.8,3.3,3.1,3.1,2.3,2.9,2.8
"Belo zelje","SLOVENIJA",35.0,35.9,28.4,25.6,32.0,34.4,35.1,31.9,34.8,34.0
"Belo zelje","Pomurska",31.8,38.1,27.2,22.4,27.8,31.3,33.0,25.8,37.3,34.2
"Belo zelje","Podravska",28.6,28.0,24.8,22.8,24.6,27.4,29.0,27.9,33.1,34.7
"Belo zelje","Koroška",25.5,23.7,30.2,20.5,20.4,20.5,21.3,23.3,23.7,25.8
"Belo zelje","Savinjska",25.6,29.0,21.0,17.8,25.7,29.2,28.0,23.4,26.3,21.3
"Belo zelje","Zasavska",13.0,12.9,12.6,13.5,11.7,15.1,13.3,12.7,12.7,15.2
"Belo zelje","Posavska",40.2,35.5,29.1,25.8,27.4,29.6,27.3,24.5,26.7,26.8
"Belo zelje","Jugovzhodna Slovenija",27.8,26.3,15.2,19.2,25.9,26.6,29.6,18.5,29.9,25.1
"Belo zelje","Osrednjeslovenska",46.2,48.4,40.3,42.1,42.7,46.1,40.5,37.4,36.5,35.2
"Belo zelje","Gorenjska",51.2,35.9,44.4,29.0,48.3,49.4,52.5,52.0,49.5,46.0
"Belo zelje","Primorsko-notranjska",40.9,38.1,24.9,25.3,31.6,31.5,33.3,28.2,34.7,39.0
"Belo zelje","Goriška",17.2,18.2,10.0,9.4,24.0,24.7,24.5,21.5,20.7,20.9
"Belo zelje","Obalno-kraška",25.3,20.8,11.6,12.3,21.0,22.2,24.0,22.7,28.0,27.5
"Grozdje","SLOVENIJA",6.6,7.4,5.6,6.2,5.9,7.5,6.0,5.6,8.1,6.8
